id,project_id,author_id,body,created_at
119,112,d9fbcbde-376a-5f82-9fb5-268a24b02d57,The scoped prototype is complete; the handover notes explain its limits. Current focus: add expiry times to room reports. Room-level reports expire after two hours; no individual tracking.,2026-07-17T02:30:00+00:00
120,113,001e944b-e64e-5742-afb7-5e04327e41ee,We are still checking the scope before building. Current focus: separate available items from borrowed items. Borrowers and lenders agree on pickup in person; the app does not handle deposits.,2026-08-06T22:30:00+00:00
121,114,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,"Paused while the team is on placements. The current work is saved for a later handover. Current focus: add a private reminder toggle. Keep personal and shared reminders separate, even when they fall on the same day.",2026-09-05T00:30:00+00:00
122,115,f22a7317-9c2b-5d13-99b9-1a1622094bb3,The first flow is being built and tested around coursework. Current focus: test the repair intake form on a phone. Photograph objects only with permission and avoid storing customer details.,2026-08-22T19:30:00+00:00
123,115,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,I have put the notes for Repair café notes in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-15T10:30:00+00:00
124,116,daa36188-60fd-56a2-938b-70b1b51084b0,We are still checking the scope before building. Current focus: write rounding tests for three-way splits. Use manual entry first and show rounding differences before saving.,2026-09-12T05:30:00+00:00
125,117,1bc15434-bc22-56cc-a890-336efd2a11e5,The scoped prototype is complete; the handover notes explain its limits. Current focus: require pickup and expiry windows. Listings need an expiry time and allergen notes; no claims about food safety.,2026-09-07T05:30:00+00:00
126,118,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,The first flow is being built and tested around coursework. Current focus: add units to the csv export. Store measurements with units and export the original readings unchanged.,2026-09-09T08:30:00+00:00
127,118,c6286e16-5e03-594c-aa67-861b8ba91b33,I have put the notes for Fieldwork logbook in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-18T10:30:00+00:00
128,119,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,The scoped prototype is complete; the handover notes explain its limits. Current focus: test simultaneous waitlist confirmations. Offer the seat to one person at a time so two confirmations cannot collide.,2026-07-17T02:30:00+00:00
129,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,The first flow is being built and tested around coursework. Current focus: run a paper test with a shift checklist. The shop owner can edit checklists without learning a content management system.,2026-09-02T00:30:00+00:00
130,121,19e81afb-74c1-5b4a-9af3-469f3b610235,We are still checking the scope before building. Current focus: add observation time filters. Use observation times instead of pretending shade is the same all day.,2026-07-30T19:30:00+00:00
131,122,a36cd93c-2f0c-5956-9a51-8094e39a7bed,"The first flow is being built and tested around coursework. Current focus: compare time windows across time zones. Match overlapping time windows and preferred language, not a made-up score.",2026-08-26T01:30:00+00:00
132,122,693ebb02-ab3f-5d60-b798-d4d4df4900d2,I have put the notes for Practice partner cards in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-14T10:30:00+00:00
133,123,bb4b0d34-59a4-5948-a9be-a1aa6caece55,The first flow is being built and tested around coursework. Current focus: reconcile the remaining grant balance. Every balance must be explainable from an expense row.,2026-09-15T20:30:00+00:00
134,123,88a268b0-6bca-5583-b041-ffdbc51be7e6,I have put the notes for Tiny grant tracker in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-13T10:30:00+00:00
135,124,6690668c-e73d-51ff-9ca4-36bec9b8c175,The scoped prototype is complete; the handover notes explain its limits. Current focus: keep subtitle timestamps during edits. Editing and export are local; do not upload recorded students to an external model.,2026-09-03T05:30:00+00:00
136,125,baa8ef70-5b01-5a49-84cb-71c353290705,The first flow is being built and tested around coursework. Current focus: flag missing readings on the chart. Show missing sensor readings clearly instead of joining gaps with a line.,2026-09-08T15:30:00+00:00
137,125,5a4b137d-2ebb-5c75-8cdd-bf77406b4b9f,I have put the notes for Garden sensor diary in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-17T10:30:00+00:00
138,126,95927b04-f214-5c26-878d-fb55176e41bc,"The scoped prototype is complete; the handover notes explain its limits. Current focus: add a reason-for-reading field. Store public paper links and original notes, not copyrighted PDF copies.",2026-07-28T23:30:00+00:00
139,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Paused while the team is on placements. The current work is saved for a later handover. Current focus: avoid repeated reviewer pairs. Review history is visible so assignments can be checked by the group.,2026-09-18T10:30:00+00:00
140,128,20b63262-d3e6-555a-95b2-84fc87694a19,The scoped prototype is complete; the handover notes explain its limits. Current focus: track missing components on return. A kit can be incomplete; missing parts must not disappear when it is returned.,2026-07-30T22:30:00+00:00
141,129,8ecc0792-3789-53b2-a26e-fc6daa886eb7,The scoped prototype is complete; the handover notes explain its limits. Current focus: add an accessible contrast preset. Keep screenshot text readable and offer an export with no decorative frame.,2026-09-18T10:30:00+00:00
142,130,e747fee0-a84b-5f51-98a3-7481903c9023,The scoped prototype is complete; the handover notes explain its limits. Current focus: restore a draft session after reopening. There is no speed ranking; skipped days should not wipe out the journal.,2026-08-31T02:30:00+00:00
143,131,651ce25b-8132-52d9-8f74-889f22c3bb5c,"The first flow is being built and tested around coursework. Current focus: evaluate false positives on sample posters. This is a prototype helper, not an accessibility certification tool.",2026-09-17T21:30:00+00:00
144,131,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,I have put the notes for Accessible poster checker in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-17T10:30:00+00:00
145,132,e3efd234-c7f9-5957-937f-661b1c3981ef,The first flow is being built and tested around coursework. Current focus: label private handover documents. Separate public event guides from committee-only notes.,2026-08-10T07:30:00+00:00
146,132,878bb7d9-5569-5efb-bbd1-5e39d62d594d,I have put the notes for Club handover folder in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-16T10:30:00+00:00
147,133,bf54d417-d834-5d3e-a7f9-106377fe05a5,We are still checking the scope before building. Current focus: show when a price was last checked. Record the date of each price rather than presenting old quotes as current.,2026-08-07T02:30:00+00:00
148,134,53f78f7e-e2df-586b-b483-5748c92d0f9f,The scoped prototype is complete; the handover notes explain its limits. Current focus: add a moderator review queue. Moderators can hide personal information before a question is displayed.,2026-09-18T10:30:00+00:00
149,135,ffe47fd1-7989-5728-addd-50b504edd889,"Paused while the team is on placements. The current work is saved for a later handover. Current focus: add dates to route condition reports. Reports are observations, not navigation guarantees.",2026-08-13T03:30:00+00:00
150,136,7624f38b-fbca-546f-af04-c9dda9318f82,The scoped prototype is complete; the handover notes explain its limits. Current focus: separate submitted and approved hours. Coordinators confirm sessions; users cannot approve their own hours.,2026-08-28T07:30:00+00:00
151,137,20b4182c-90f7-51da-99e8-97ade4d19a92,"We are still checking the scope before building. Current focus: add a missing-data legend. Preserve units, source dates and missing values in the final chart.",2026-08-17T20:30:00+00:00
152,138,1b1e4344-fde4-5cc2-b82c-4fb458696522,The first flow is being built and tested around coursework. Current focus: compare against a weekly baseline. Use aggregated counts and compare the model with last week's pattern.,2026-09-14T03:30:00+00:00
153,138,3425797b-5c54-5f3a-9a34-9cedb0dc5b84,I have put the notes for Reading room occupancy in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-16T10:30:00+00:00
154,139,2e2e8079-6c9e-51c9-bc7e-1475045fd514,The scoped prototype is complete; the handover notes explain its limits. Current focus: normalize readings by measurement duration. Use manual readings and keep the measurement interval visible.,2026-09-11T14:30:00+00:00
155,140,bdc5faf6-386d-5338-99a0-32d156bcbd68,The first flow is being built and tested around coursework. Current focus: add a clear delete-recording action. Recordings stay on the device unless the student exports them.,2026-08-23T04:30:00+00:00
156,140,77c684c4-9514-5edc-85ff-1052c8544c14,I have put the notes for Interview practice recorder in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-14T10:30:00+00:00
157,141,45abfe15-6e8d-57cf-bda3-b7ae2b5c0bc7,The first flow is being built and tested around coursework. Current focus: confirm rescheduled appointments. Changing a slot must not silently move existing bookings.,2026-09-05T05:30:00+00:00
158,141,58074159-53d7-5a52-8436-d84a05af35a9,I have put the notes for Office-hours planner in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-13T10:30:00+00:00
159,142,693ebb02-ab3f-5d60-b798-d4d4df4900d2,We are still checking the scope before building. Current focus: handle cancelled print jobs correctly. Import a sample job log; do not connect to a real campus printer.,2026-08-23T16:30:00+00:00
160,143,88820056-e901-59a1-b2ca-c4e813b34f7b,The first flow is being built and tested around coursework. Current focus: label feedback by draft version. Comments refer to a version so old feedback is not attached to a new image.,2026-07-31T17:30:00+00:00
161,143,eb3717c1-cd92-5eeb-af40-9df7f3132426,I have put the notes for Studio critique board in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-17T10:30:00+00:00
162,144,878bb7d9-5569-5efb-bbd1-5e39d62d594d,"The scoped prototype is complete; the handover notes explain its limits. Current focus: support stock corrections with a reason. Work with item counts first, with no payment processing.",2026-08-24T16:30:00+00:00
163,145,6ac5a7a4-ae0d-5e31-8a7c-d85b63a96c46,We are still checking the scope before building. Current focus: convert package prices into portion costs. Keep currency and package sizes explicit so comparisons are fair.,2026-08-02T18:30:00+00:00
164,146,4ec67eb8-4fda-5cbc-bbd1-a6afc7ce8130,The first flow is being built and tested around coursework. Current focus: write a data-minimisation checklist. Use fictional forms and point out unnecessary fields.,2026-09-13T19:30:00+00:00
165,146,88a268b0-6bca-5583-b041-ffdbc51be7e6,I have put the notes for Consent form sandbox in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-14T10:30:00+00:00
166,147,4ec67eb8-4fda-5cbc-bbd1-a6afc7ce8130,We are still checking the scope before building. Current focus: make example links non-clickable. All examples are fictional and links are inert; never collect credentials.,2026-07-12T02:30:00+00:00
167,148,373cd20e-25d5-5a46-a0ae-18157cf68a55,We are still checking the scope before building. Current focus: link update decisions to test notes. Store release links and test results without claiming to audit packages.,2026-08-21T04:30:00+00:00
168,149,f4793612-bd5c-52c4-b29e-226fe28a77ca,The first flow is being built and tested around coursework. Current focus: mark stale health-check results. Show recent failures and stale checks; do not promise production uptime.,2026-08-28T15:30:00+00:00
169,149,88a268b0-6bca-5583-b041-ffdbc51be7e6,I have put the notes for Small API status page in the handover checklist. The next review will focus on the first-use flow and the error states.,2026-09-17T10:30:00+00:00
170,150,1873645b-b54c-51dc-a41a-7131e831a64f,Paused while the team is on placements. The current work is saved for a later handover. Current focus: include irregular travel days in estimates. Prices are entered by the user and carry an effective date.,2026-09-09T23:30:00+00:00
171,151,9edec740-5de6-5c27-8233-5cf72946b182,The first flow is being built and tested around coursework. Current focus: add a report-needs-review state. Accessibility details need a date and an uncertainty note.,2026-08-27T00:30:00+00:00
