id,slug,owner_id,title,summary,description,category,tech_stack,looking_for_roles,cover,status,max_members,is_public,created_at,updated_at
112,quiet-seat-map,d9fbcbde-376a-5f82-9fb5-268a24b02d57,Quiet-seat map,Show which study rooms are quiet without asking people to share their exact location.,"Show which study rooms are quiet without asking people to share their exact location.

Scope
Room-level reports expire after two hours; no individual tracking.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Niruta Adhikari: frontend developer
Sahana Rao: backend developer
Yanis Benali: product designer
Sander Berg: frontend developer

Fictional student project for the CoLearn demo.",Web Development,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]",[],,completed,6,true,2026-07-05T02:30:00+00:00,2026-07-17T02:30:00+00:00
113,borrowbox,001e944b-e64e-5742-afb7-5e04327e41ee,Borrowbox,Help students lend calculators and lab coats for a few days instead of buying another one.,"Help students lend calculators and lab coats for a few days instead of buying another one.

Scope
Borrowers and lenders agree on pickup in person; the app does not handle deposits.

Intermediate: a tested prototype with a few cooperating parts.

We are still checking the scope before building.

Team contributions
Kritika Joshi: backend developer
Lerato Mokoena: research partner

Fictional student project for the CoLearn demo.",Community,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,idea,4,true,2026-07-14T22:30:00+00:00,2026-09-17T10:30:00+00:00
114,deadline-fridge,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,Deadline fridge,Put shared flat bills and university deadlines on one small calendar.,"Put shared flat bills and university deadlines on one small calendar.

Scope
Keep personal and shared reminders separate, even when they fall on the same day.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Mahnoor Siddiqui: full-stack developer
Yanis Benali: product designer
Priyanka Shah: frontend developer
Layan Al Harbi: product designer

Fictional student project for the CoLearn demo.",Productivity,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]",[],,archived,7,true,2026-08-16T00:30:00+00:00,2026-09-05T00:30:00+00:00
115,repair-cafe-notes,f22a7317-9c2b-5d13-99b9-1a1622094bb3,Repair café notes,Keep a useful record of repairs at a neighbourhood repair session.,"Keep a useful record of repairs at a neighbourhood repair session.

Scope
Photograph objects only with permission and avoid storing customer details.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Tashi Wangchuk: product designer
Oliver Tran: research partner

Fictional student project for the CoLearn demo.",Social Impact,"[""Figma"",""User Research"",""Accessibility""]","[""Data analyst""]",,active,4,true,2026-07-24T19:30:00+00:00,2026-09-15T10:30:00+00:00
116,receipt-split-notebook,daa36188-60fd-56a2-938b-70b1b51084b0,Receipt split notebook,Split grocery receipts when flatmates did not buy equal amounts.,"Split grocery receipts when flatmates did not buy equal amounts.

Scope
Use manual entry first and show rounding differences before saving.

Intermediate: a tested prototype with a few cooperating parts.

We are still checking the scope before building.

Team contributions
Zhou Xinyi: database developer
Yanis Benali: product designer
Siriporn Saelim: product designer
Reem Al Ghamdi: mobile developer
Mateo Rivera: research partner

Fictional student project for the CoLearn demo.",FinTech,"[""SQL"",""PostgreSQL"",""Data Modeling"",""React""]","[""Mobile developer""]",,idea,8,true,2026-08-27T05:30:00+00:00,2026-09-14T10:30:00+00:00
117,lunch-leftovers-board,1bc15434-bc22-56cc-a890-336efd2a11e5,Lunch leftovers board,Let student groups offer unopened surplus food after an event.,"Let student groups offer unopened surplus food after an event.

Scope
Listings need an expiry time and allergen notes; no claims about food safety.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Kavya Reddy: frontend developer
Maja Wiśniewska: backend developer
Mateo Rivera: research partner
Onni Nieminen: frontend developer
Alva Lindberg: research partner
James Rangi: research partner

Fictional student project for the CoLearn demo.",Climate,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]",[],,completed,7,true,2026-08-25T05:30:00+00:00,2026-09-07T05:30:00+00:00
118,fieldwork-logbook,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,Fieldwork logbook,Record water sampling notes when field trips have no mobile signal.,"Record water sampling notes when field trips have no mobile signal.

Scope
Store measurements with units and export the original readings unchanged.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Liu Yifan: gis contributor
Aisha Ibrahim: gis contributor
Mikkel Jensen: content designer

Fictional student project for the CoLearn demo.",Research,"[""QGIS"",""Statistics"",""Technical Writing""]","[""Content designer""]",,active,4,true,2026-08-21T08:30:00+00:00,2026-09-12T10:30:00+00:00
119,workshop-waitlist,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,Workshop waitlist,Fill empty seats when someone cancels a student workshop place.,"Fill empty seats when someone cancels a student workshop place.

Scope
Offer the seat to one person at a time so two confirmations cannot collide.

Intermediate: a tested prototype with a few cooperating parts.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Sota Ishikawa: backend developer
Daan Bakker: backend developer
James Rangi: research partner
Zoya Ansari: research partner
Sander Berg: frontend developer

Fictional student project for the CoLearn demo.",Web Development,"[""Python"",""Django"",""PostgreSQL"",""React""]",[],,completed,6,true,2026-06-28T02:30:00+00:00,2026-07-17T02:30:00+00:00
120,first-shift-guide,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,First shift guide,Make a short onboarding guide for students working their first café shift.,"Make a short onboarding guide for students working their first café shift.

Scope
The shop owner can edit checklists without learning a content management system.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Haruka Fujimoto: research partner

Fictional student project for the CoLearn demo.",Business,"[""Excel"",""Content Strategy"",""Market Research""]","[""Motion designer""]",,active,4,true,2026-08-08T00:30:00+00:00,2026-09-17T10:30:00+00:00
121,bus-stop-shade-atlas,19e81afb-74c1-5b4a-9af3-469f3b610235,Bus stop shade atlas,Map which bus stops offer shade during a summer commute.,"Map which bus stops offer shade during a summer commute.

Scope
Use observation times instead of pretending shade is the same all day.

Beginner: a small working flow before adding extra features.

We are still checking the scope before building.

Team contributions
Nattapong Chaiyaporn: gis contributor

Fictional student project for the CoLearn demo.",Climate,"[""QGIS"",""Statistics"",""Technical Writing""]","[""Content designer""]",,idea,3,true,2026-07-03T19:30:00+00:00,2026-09-16T10:30:00+00:00
