id,project_id,assignee_id,title,description,status,priority,due_date,order,xp_awarded,created_at,updated_at
137,112,d9fbcbde-376a-5f82-9fb5-268a24b02d57,Add expiry times to room reports,Room-level reports expire after two hours; no individual tracking.,done,medium,2026-07-10,0,true,2026-07-07T02:30:00+00:00,2026-07-10T02:30:00+00:00
138,112,693ebb02-ab3f-5d60-b798-d4d4df4900d2,Write the first-use checklist for Quiet-seat map,Keep the checklist to one flow and note what data is required before starting.,done,low,2026-07-11,1,true,2026-07-07T03:30:00+00:00,2026-07-11T03:30:00+00:00
139,112,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Show which study rooms are quiet without asking people to share their exact location.",done,low,2026-07-12,2,true,2026-07-07T04:30:00+00:00,2026-07-12T04:30:00+00:00
140,112,90cced0e-f2c7-528c-bd28-38c44ead6c98,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,low,2026-07-13,3,true,2026-07-07T05:30:00+00:00,2026-07-13T05:30:00+00:00
141,113,001e944b-e64e-5742-afb7-5e04327e41ee,Separate available items from borrowed items,Borrowers and lenders agree on pickup in person; the app does not handle deposits.,todo,medium,2026-09-23,0,false,2026-07-16T22:30:00+00:00,2026-07-16T22:30:00+00:00
142,113,518ae987-15f7-5b22-8bcc-df59623dbdce,Write the first-use checklist for Borrowbox,Keep the checklist to one flow and note what data is required before starting.,todo,medium,2026-09-24,1,false,2026-07-16T23:30:00+00:00,2026-07-16T23:30:00+00:00
143,113,001e944b-e64e-5742-afb7-5e04327e41ee,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Help students lend calculators and lab coats for a few days instead of buying another one.",todo,urgent,2026-09-25,2,false,2026-07-17T00:30:00+00:00,2026-07-17T00:30:00+00:00
144,113,518ae987-15f7-5b22-8bcc-df59623dbdce,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,todo,medium,2026-09-26,3,false,2026-07-17T01:30:00+00:00,2026-07-17T01:30:00+00:00
145,113,001e944b-e64e-5742-afb7-5e04327e41ee,Document the setup and known limits,Check a clean setup and include this boundary: Borrowers and lenders agree on pickup in person; the app does not handle deposits.,todo,low,2026-09-27,4,false,2026-07-17T02:30:00+00:00,2026-07-17T02:30:00+00:00
146,113,518ae987-15f7-5b22-8bcc-df59623dbdce,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",todo,medium,2026-09-28,5,false,2026-07-17T03:30:00+00:00,2026-07-17T03:30:00+00:00
147,113,001e944b-e64e-5742-afb7-5e04327e41ee,Add regression checks for the main flow,Cover the behaviour behind this task: separate available items from borrowed items.,todo,high,2026-09-29,6,false,2026-07-17T04:30:00+00:00,2026-07-17T04:30:00+00:00
148,114,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,Add a private reminder toggle,"Keep personal and shared reminders separate, even when they fall on the same day.",todo,medium,2026-09-24,0,false,2026-08-18T00:30:00+00:00,2026-08-18T00:30:00+00:00
149,114,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,Write the first-use checklist for Deadline fridge,Keep the checklist to one flow and note what data is required before starting.,done,low,2026-08-22,1,true,2026-08-18T01:30:00+00:00,2026-08-22T01:30:00+00:00
150,114,53f78f7e-e2df-586b-b483-5748c92d0f9f,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Put shared flat bills and university deadlines on one small calendar.",done,medium,2026-08-23,2,true,2026-08-18T02:30:00+00:00,2026-08-23T02:30:00+00:00
151,114,0947c4b9-50d6-50e2-9043-84a15b80e8c7,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,review,high,2026-09-27,3,false,2026-08-18T03:30:00+00:00,2026-08-18T03:30:00+00:00
152,114,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,Document the setup and known limits,"Check a clean setup and include this boundary: Keep personal and shared reminders separate, even when they fall on the same day.",done,medium,2026-08-25,4,true,2026-08-18T04:30:00+00:00,2026-08-25T04:30:00+00:00
153,114,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",done,high,2026-08-26,5,true,2026-08-18T05:30:00+00:00,2026-08-26T05:30:00+00:00
154,114,53f78f7e-e2df-586b-b483-5748c92d0f9f,Add regression checks for the main flow,Cover the behaviour behind this task: add a private reminder toggle.,in_progress,high,2026-09-30,6,false,2026-08-18T06:30:00+00:00,2026-08-18T06:30:00+00:00
155,114,0947c4b9-50d6-50e2-9043-84a15b80e8c7,Prepare the project handover notes,"Include a working example, remaining issues, and who last worked on each part.",done,medium,2026-08-28,7,true,2026-08-18T07:30:00+00:00,2026-08-28T07:30:00+00:00
156,115,f22a7317-9c2b-5d13-99b9-1a1622094bb3,Test the repair intake form on a phone,Photograph objects only with permission and avoid storing customer details.,done,medium,2026-07-29,0,true,2026-07-26T19:30:00+00:00,2026-07-29T19:30:00+00:00
157,115,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,Write the first-use checklist for Repair café notes,Keep the checklist to one flow and note what data is required before starting.,review,medium,2026-09-26,1,false,2026-07-26T20:30:00+00:00,2026-07-26T20:30:00+00:00
158,115,f22a7317-9c2b-5d13-99b9-1a1622094bb3,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Keep a useful record of repairs at a neighbourhood repair session.",todo,low,2026-09-27,2,false,2026-07-26T21:30:00+00:00,2026-07-26T21:30:00+00:00
159,115,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,in_progress,medium,2026-09-28,3,false,2026-07-26T22:30:00+00:00,2026-07-26T22:30:00+00:00
160,115,f22a7317-9c2b-5d13-99b9-1a1622094bb3,Document the setup and known limits,Check a clean setup and include this boundary: Photograph objects only with permission and avoid storing customer details.,review,medium,2026-09-29,4,false,2026-07-26T23:30:00+00:00,2026-07-26T23:30:00+00:00
161,115,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",todo,medium,2026-09-30,5,false,2026-07-27T00:30:00+00:00,2026-07-27T00:30:00+00:00
