id,slug,author_id,title,body,category,is_pinned,views,created_at,updated_at
114,my-react-form-loses-a-field-when-i-go-back-a-step,d9fbcbde-376a-5f82-9fb5-268a24b02d57,My React form loses a field when I go back a step,I split a registration form into three components. Going back to step one clears the inputs. Should the parent own all of this state?,frontend,false,24,2026-08-02T04:30:00+00:00,2026-08-02T04:30:00+00:00
115,does-this-filter-need-useeffect-at-all,a36cd93c-2f0c-5956-9a51-8094e39a7bed,Does this filter need useEffect at all?,"I have a list and a search input. I'm using an effect to put matching items into another state variable. It works, but feels like extra work.",frontend,false,155,2026-09-12T09:30:00+00:00,2026-09-12T09:30:00+00:00
116,how-do-you-test-keyboard-navigation-without-a-mouse,fd96bbd1-5601-5c99-a1e2-04b09168b35e,How do you test keyboard navigation without a mouse?,"Trying to check our club website before the demo. I can tab through it, but I'm not sure what counts as broken.",frontend,false,9,2026-09-08T00:30:00+00:00,2026-09-08T00:30:00+00:00
117,our-django-query-count-climbs-with-every-card,b39a9d3d-f3eb-5d31-9cc7-15e278969b70,Our Django query count climbs with every card,"The project list works, but the debug toolbar shows another query for each author's name. Is select_related the right fix?",backend,false,155,2026-09-01T06:30:00+00:00,2026-09-01T06:30:00+00:00
118,should-an-empty-search-return-everything,0947c4b9-50d6-50e2-9043-84a15b80e8c7,Should an empty search return everything?,In our resource browser an empty search currently returns zero results. A teammate thinks it should show recent items instead. What would you expect?,product,false,85,2026-08-15T00:30:00+00:00,2026-08-15T00:30:00+00:00
119,postgresql-dates-are-making-my-deadline-move-a-day,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,PostgreSQL dates are making my deadline move a day,"A deadline entered as 2026-10-02 shows as October 1 for one teammate. It's a date, not a meeting time. What should we store?",backend,false,40,2026-08-01T00:30:00+00:00,2026-08-01T00:30:00+00:00
120,what-goes-in-the-readme-when-the-project-is-unfinished,6e82bb3e-ede8-5803-ba1a-cc3aa8766199,What goes in the README when the project is unfinished?,Two screens work and two don't. I want to share the repo for feedback without making it sound finished.,career,false,85,2026-09-17T09:30:00+00:00,2026-09-17T09:30:00+00:00
121,need-a-second-pair-of-eyes-on-our-database-roles,508d03e7-de84-523a-8242-f48abc9451d7,Need a second pair of eyes on our database roles,"We have owners, members and visitors. Should the API be the only place checking who can edit a project?",backend,false,16,2026-08-08T04:30:00+00:00,2026-08-08T04:30:00+00:00
122,how-small-can-a-useful-first-open-source-contribution-be,d5dc7189-89df-5fd7-983f-1124b6de3d68,How small can a useful first open-source contribution be?,I found a typo in setup instructions but it feels too small to send a pull request for.,career,false,24,2026-09-03T09:30:00+00:00,2026-09-03T09:30:00+00:00
123,anyone-else-stuck-choosing-between-two-project-ideas,daa36188-60fd-56a2-938b-70b1b51084b0,Anyone else stuck choosing between two project ideas?,"One idea is more interesting, the other is something I could actually finish this term. Three people on the team and exams in six weeks.",community,false,5,2026-07-22T09:30:00+00:00,2026-07-22T09:30:00+00:00
