id,thread_id,author_id,parent_id,body,xp_awarded,created_at,updated_at
209,115,341a0cef-f4a9-53ee-8980-229dc154ff4e,\N,You can usually calculate filteredItems from the list and query during render.,true,2026-09-12T11:30:00+00:00,2026-09-12T11:30:00+00:00
210,116,bb4b0d34-59a4-5948-a9be-a1aa6caece55,\N,Start at the address bar and tab through the page. You should always see where focus is.,false,2026-09-08T02:30:00+00:00,2026-09-08T02:30:00+00:00
211,116,84da666c-c47c-572e-b2c9-3b6f35881596,210,Check that dialogs return focus to the button that opened them.,false,2026-09-08T09:30:00+00:00,2026-09-08T09:30:00+00:00
212,116,33ba5d16-c38c-5bcf-9896-ea8ae81d6e7b,\N,Try Shift+Tab as well. Our menu only worked in one direction.,false,2026-09-08T16:30:00+00:00,2026-09-08T16:30:00+00:00
213,117,508d03e7-de84-523a-8242-f48abc9451d7,\N,"For a single author foreign key, yes, select_related is the first thing I'd try.",false,2026-09-01T08:30:00+00:00,2026-09-01T08:30:00+00:00
214,117,082b47e7-5a06-5a34-bd49-595c82b2b196,213,Use prefetch_related for the team members if that's a many-to-many relationship.,false,2026-09-01T15:30:00+00:00,2026-09-01T15:30:00+00:00
215,117,b7f1d97d-9f3c-5885-b9ef-48d67a16a686,\N,Measure it again after the change. It is easy to fix authors and still fetch each avatar separately.,false,2026-09-01T22:30:00+00:00,2026-09-01T22:30:00+00:00
216,117,7298015b-9105-595a-b879-3013c08053f7,\N,Got it down from 42 to 4 queries. The tags were the other part.,false,2026-09-02T05:30:00+00:00,2026-09-02T05:30:00+00:00
217,118,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,\N,I'd expect the normal browse view when I clear the input.,false,2026-08-15T02:30:00+00:00,2026-08-15T02:30:00+00:00
218,118,1873645b-b54c-51dc-a41a-7131e831a64f,217,Depends whether it's a dedicated search dialog or the main list page.,true,2026-08-15T09:30:00+00:00,2026-08-15T09:30:00+00:00
219,118,88a268b0-6bca-5583-b041-ffdbc51be7e6,\N,We show all items but keep any category filters. Clearing text shouldn't reset those.,false,2026-08-15T16:30:00+00:00,2026-08-15T16:30:00+00:00
220,118,473b12ab-4d0d-5b7f-89b2-c0a1e2405c60,\N,Good point about keeping filters. I'll test that version.,false,2026-08-15T23:30:00+00:00,2026-08-15T23:30:00+00:00
221,119,ffe47fd1-7989-5728-addd-50b504edd889,\N,For a day-only deadline use a date column and avoid converting midnight UTC into local time.,false,2026-08-01T02:30:00+00:00,2026-08-01T02:30:00+00:00
222,119,88a268b0-6bca-5583-b041-ffdbc51be7e6,221,We had this bug when calling new Date on a date-only string and formatting it locally.,false,2026-08-01T09:30:00+00:00,2026-08-01T09:30:00+00:00
223,120,651ce25b-8132-52d9-8f74-889f22c3bb5c,\N,Put a short working/not-yet-working list near the top.,false,2026-09-17T11:30:00+00:00,2026-09-17T11:30:00+00:00
224,120,cd8c4c60-ab9b-5cf3-996e-d4fbb990f4c6,223,A setup command and one screenshot help more than a huge feature wishlist.,false,2026-09-17T18:30:00+00:00,2026-09-17T18:30:00+00:00
225,120,a6b8342c-310b-5b88-9c07-602dbd646488,\N,Include the known rough edges. It makes it easier for someone to give useful feedback.,false,2026-09-18T01:30:00+00:00,2026-09-18T01:30:00+00:00
226,121,9d1c460b-bd0b-57ff-ac14-f2b10f73edd3,\N,"If the browser talks directly to the database, database policies need to enforce it too.",false,2026-08-08T06:30:00+00:00,2026-08-08T06:30:00+00:00
227,123,06657aeb-b604-5b0d-9281-d2e5afb78a9d,\N,I'd pick the one you can test with a real person this week.,false,2026-07-22T11:30:00+00:00,2026-07-22T11:30:00+00:00
228,124,6ecf180b-be59-594c-a33b-31bd0120f01f,\N,Show the sample size and how you recruited people.,false,2026-08-21T02:30:00+00:00,2026-08-21T02:30:00+00:00
229,124,64609795-d498-5ea7-ad33-a3bcecf9d962,228,I'd show counts alongside percentages. With 23 responses the percentages look more precise than they are.,false,2026-08-21T09:30:00+00:00,2026-08-21T09:30:00+00:00
230,124,b7180518-4b5b-54ef-9060-958212d05ab7,\N,"Mention who didn't respond too, if you know. Our survey only reached students already in the club.",false,2026-08-21T16:30:00+00:00,2026-08-21T16:30:00+00:00
231,125,88a268b0-6bca-5583-b041-ffdbc51be7e6,\N,Try preserving the visible item's position instead of scrolling to an absolute offset.,true,2026-08-28T05:30:00+00:00,2026-08-28T05:30:00+00:00
232,125,95927b04-f214-5c26-878d-fb55176e41bc,231,Stable keys on list items helped in our prototype.,false,2026-08-28T12:30:00+00:00,2026-08-28T12:30:00+00:00
233,125,01c00e49-c4d6-5d4b-bbc1-8aa3fe21ba2a,\N,Are you recreating the scroll controller on every build?,false,2026-08-28T19:30:00+00:00,2026-08-28T19:30:00+00:00
234,125,d2a70bca-a25c-522f-9b7e-c967b69503cc,\N,It was the controller. Moving it into the state object fixed most of the jump.,false,2026-08-29T02:30:00+00:00,2026-08-29T02:30:00+00:00
235,126,19e81afb-74c1-5b4a-9af3-469f3b610235,\N,"Expected result, actual result, and the shortest steps to reproduce.",false,2026-08-14T07:30:00+00:00,2026-08-14T07:30:00+00:00
236,126,96ccee9a-30f2-56cd-b597-a927c84e0f75,235,Add browser/device if it's a UI problem.,false,2026-08-14T14:30:00+00:00,2026-08-14T14:30:00+00:00
237,126,4307ee18-2e16-50be-abbc-db160bb8e8fd,\N,"A short screen recording helps, but don't make a video mandatory.",true,2026-08-14T21:30:00+00:00,2026-08-14T21:30:00+00:00
238,126,a6b8342c-310b-5b88-9c07-602dbd646488,\N,Please include the input that triggered it. 'Search is broken' took us an hour to reproduce.,false,2026-08-15T04:30:00+00:00,2026-08-15T04:30:00+00:00
239,127,484e243b-afd7-5767-bb0f-4262c0334aea,\N,"If saving personal data isn't the point, a local prototype might be enough.",false,2026-08-28T07:30:00+00:00,2026-08-28T07:30:00+00:00
240,127,673e8617-3280-5bfa-85a6-738a6d64aac6,239,We used example inputs and no accounts for the first user test.,false,2026-08-28T14:30:00+00:00,2026-08-28T14:30:00+00:00
241,128,f3744506-cae3-5f81-8a4f-506a60395be8,\N,Make a branch or commit your current work before resolving it.,false,2026-09-17T11:30:00+00:00,2026-09-17T11:30:00+00:00
242,128,ac9c9500-b7e4-5bbe-8f4e-a40a6201979a,241,Read both changes with your teammate. The correct result might include parts of both.,false,2026-09-17T18:30:00+00:00,2026-09-17T18:30:00+00:00
243,128,f22a7317-9c2b-5d13-99b9-1a1622094bb3,\N,Don't just choose 'accept incoming' for every conflict. Run the app afterwards.,false,2026-09-18T01:30:00+00:00,2026-09-18T01:30:00+00:00
244,129,9a026691-28ff-5880-9da3-006735af19d3,\N,That comparison is a result. Explain the dataset and where the model fails.,true,2026-09-12T08:30:00+00:00,2026-09-12T08:30:00+00:00
245,131,06657aeb-b604-5b0d-9281-d2e5afb78a9d,\N,"The smallest snippet that still reproduces the problem, plus the exact error.",false,2026-09-14T03:30:00+00:00,2026-09-14T03:30:00+00:00
246,132,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,\N,Don't silently change the count to zero. That hides a reconciliation problem.,false,2026-08-10T11:30:00+00:00,2026-08-10T11:30:00+00:00
247,132,64609795-d498-5ea7-ad33-a3bcecf9d962,246,"I'd record the correction and show a warning, but ask the shop how they handle it now.",false,2026-08-10T18:30:00+00:00,2026-08-10T18:30:00+00:00
