id,project_id,title,description,due_date,status,created_at,updated_at
119,112,Agree the smallest useful version,Room-level reports expire after two hours; no individual tracking.,2026-07-10,done,2026-07-06T02:30:00+00:00,2026-07-10T02:30:00+00:00
120,112,Test and hand over the prototype,Check the main use case: Show which study rooms are quiet without asking people to share their exact location.,2026-07-17,done,2026-07-06T02:30:00+00:00,2026-07-17T02:30:00+00:00
121,113,Agree the smallest useful version,Borrowers and lenders agree on pickup in person; the app does not handle deposits.,2026-09-29,planned,2026-07-15T22:30:00+00:00,2026-07-15T22:30:00+00:00
122,113,Test and hand over the prototype,Check the main use case: Help students lend calculators and lab coats for a few days instead of buying another one.,2026-10-06,planned,2026-07-15T22:30:00+00:00,2026-07-15T22:30:00+00:00
123,114,Agree the smallest useful version,"Keep personal and shared reminders separate, even when they fall on the same day.",2026-08-21,done,2026-08-17T00:30:00+00:00,2026-08-21T00:30:00+00:00
124,114,Test and hand over the prototype,Check the main use case: Put shared flat bills and university deadlines on one small calendar.,2026-10-06,planned,2026-08-17T00:30:00+00:00,2026-08-17T00:30:00+00:00
125,115,Agree the smallest useful version,Photograph objects only with permission and avoid storing customer details.,2026-07-29,done,2026-07-25T19:30:00+00:00,2026-07-29T19:30:00+00:00
126,115,Test and hand over the prototype,Check the main use case: Keep a useful record of repairs at a neighbourhood repair session.,2026-10-06,in_progress,2026-07-25T19:30:00+00:00,2026-07-25T19:30:00+00:00
127,116,Agree the smallest useful version,Use manual entry first and show rounding differences before saving.,2026-09-29,planned,2026-08-28T05:30:00+00:00,2026-08-28T05:30:00+00:00
128,116,Test and hand over the prototype,Check the main use case: Split grocery receipts when flatmates did not buy equal amounts.,2026-10-06,planned,2026-08-28T05:30:00+00:00,2026-08-28T05:30:00+00:00
129,117,Agree the smallest useful version,Listings need an expiry time and allergen notes; no claims about food safety.,2026-08-30,done,2026-08-26T05:30:00+00:00,2026-08-30T05:30:00+00:00
130,117,Test and hand over the prototype,Check the main use case: Let student groups offer unopened surplus food after an event.,2026-09-07,done,2026-08-26T05:30:00+00:00,2026-09-07T05:30:00+00:00
131,118,Agree the smallest useful version,Store measurements with units and export the original readings unchanged.,2026-08-26,done,2026-08-22T08:30:00+00:00,2026-08-26T08:30:00+00:00
132,118,Test and hand over the prototype,Check the main use case: Record water sampling notes when field trips have no mobile signal.,2026-10-06,in_progress,2026-08-22T08:30:00+00:00,2026-08-22T08:30:00+00:00
133,119,Agree the smallest useful version,Offer the seat to one person at a time so two confirmations cannot collide.,2026-07-03,done,2026-06-29T02:30:00+00:00,2026-07-03T02:30:00+00:00
134,119,Test and hand over the prototype,Check the main use case: Fill empty seats when someone cancels a student workshop place.,2026-07-17,done,2026-06-29T02:30:00+00:00,2026-07-17T02:30:00+00:00
135,120,Agree the smallest useful version,The shop owner can edit checklists without learning a content management system.,2026-08-13,done,2026-08-09T00:30:00+00:00,2026-08-13T00:30:00+00:00
136,120,Test and hand over the prototype,Check the main use case: Make a short onboarding guide for students working their first café shift.,2026-10-06,in_progress,2026-08-09T00:30:00+00:00,2026-08-09T00:30:00+00:00
137,121,Agree the smallest useful version,Use observation times instead of pretending shade is the same all day.,2026-09-29,planned,2026-07-04T19:30:00+00:00,2026-07-04T19:30:00+00:00
138,121,Test and hand over the prototype,Check the main use case: Map which bus stops offer shade during a summer commute.,2026-10-06,planned,2026-07-04T19:30:00+00:00,2026-07-04T19:30:00+00:00
139,122,Agree the smallest useful version,"Match overlapping time windows and preferred language, not a made-up score.",2026-08-03,done,2026-07-30T01:30:00+00:00,2026-08-03T01:30:00+00:00
140,122,Test and hand over the prototype,Check the main use case: Help language learners find someone free for a short speaking session.,2026-10-06,in_progress,2026-07-30T01:30:00+00:00,2026-07-30T01:30:00+00:00
141,123,Agree the smallest useful version,Every balance must be explainable from an expense row.,2026-09-03,done,2026-08-30T20:30:00+00:00,2026-09-03T20:30:00+00:00
142,123,Test and hand over the prototype,Check the main use case: Track small student society grants and the receipts needed for reimbursement.,2026-10-06,in_progress,2026-08-30T20:30:00+00:00,2026-08-30T20:30:00+00:00
143,124,Agree the smallest useful version,Editing and export are local; do not upload recorded students to an external model.,2026-08-21,done,2026-08-17T05:30:00+00:00,2026-08-21T05:30:00+00:00
144,124,Test and hand over the prototype,Check the main use case: Turn lecture-club video transcripts into captions that volunteers can correct.,2026-09-03,done,2026-08-17T05:30:00+00:00,2026-09-03T05:30:00+00:00
145,125,Agree the smallest useful version,Show missing sensor readings clearly instead of joining gaps with a line.,2026-08-19,done,2026-08-15T15:30:00+00:00,2026-08-19T15:30:00+00:00
146,125,Test and hand over the prototype,Check the main use case: Compare soil readings from two planters in the student garden.,2026-10-06,in_progress,2026-08-15T15:30:00+00:00,2026-08-15T15:30:00+00:00
147,126,Agree the smallest useful version,"Store public paper links and original notes, not copyrighted PDF copies.",2026-07-20,done,2026-07-16T23:30:00+00:00,2026-07-20T23:30:00+00:00
148,126,Test and hand over the prototype,Check the main use case: Keep a reading list for a small research group with notes on why each paper matters.,2026-07-28,done,2026-07-16T23:30:00+00:00,2026-07-28T23:30:00+00:00
149,127,Agree the smallest useful version,Review history is visible so assignments can be checked by the group.,2026-08-31,done,2026-08-27T02:30:00+00:00,2026-08-31T02:30:00+00:00
150,127,Test and hand over the prototype,Check the main use case: Give each class project two reviewers without pairing the same people every week.,2026-10-06,planned,2026-08-27T02:30:00+00:00,2026-08-27T02:30:00+00:00
151,128,Agree the smallest useful version,A kit can be incomplete; missing parts must not disappear when it is returned.,2026-07-08,done,2026-07-04T22:30:00+00:00,2026-07-08T22:30:00+00:00
152,128,Test and hand over the prototype,Check the main use case: Check lab kits in and out before practical sessions.,2026-07-30,done,2026-07-04T22:30:00+00:00,2026-07-30T22:30:00+00:00
153,129,Agree the smallest useful version,Keep screenshot text readable and offer an export with no decorative frame.,2026-09-03,done,2026-08-30T09:30:00+00:00,2026-09-03T09:30:00+00:00
154,129,Test and hand over the prototype,Check the main use case: Arrange project screenshots into consistent portfolio images.,2026-09-18,done,2026-08-30T09:30:00+00:00,2026-09-18T10:30:00+00:00
155,130,Agree the smallest useful version,There is no speed ranking; skipped days should not wipe out the journal.,2026-08-13,done,2026-08-09T02:30:00+00:00,2026-08-13T02:30:00+00:00
156,130,Test and hand over the prototype,Check the main use case: Let students record a reading session and one thing they understood.,2026-08-31,done,2026-08-09T02:30:00+00:00,2026-08-31T02:30:00+00:00
157,131,Agree the smallest useful version,"This is a prototype helper, not an accessibility certification tool.",2026-09-05,done,2026-09-01T21:30:00+00:00,2026-09-05T21:30:00+00:00
158,131,Test and hand over the prototype,Check the main use case: Flag tiny text and low contrast in student event posters.,2026-10-06,in_progress,2026-09-01T21:30:00+00:00,2026-09-01T21:30:00+00:00
159,132,Agree the smallest useful version,Separate public event guides from committee-only notes.,2026-07-22,done,2026-07-18T07:30:00+00:00,2026-07-22T07:30:00+00:00
160,132,Test and hand over the prototype,Check the main use case: Help an outgoing club committee leave useful notes for the next team.,2026-10-06,in_progress,2026-07-18T07:30:00+00:00,2026-07-18T07:30:00+00:00
161,133,Agree the smallest useful version,Record the date of each price rather than presenting old quotes as current.,2026-09-29,planned,2026-07-12T02:30:00+00:00,2026-07-12T02:30:00+00:00
162,133,Test and hand over the prototype,Check the main use case: Compare parts costs for a small community bike workshop.,2026-10-06,planned,2026-07-12T02:30:00+00:00,2026-07-12T02:30:00+00:00
163,134,Agree the smallest useful version,Moderators can hide personal information before a question is displayed.,2026-08-31,done,2026-08-27T20:30:00+00:00,2026-08-31T20:30:00+00:00
164,134,Test and hand over the prototype,Check the main use case: Collect questions during a seminar without interrupting the speaker.,2026-09-18,done,2026-08-27T20:30:00+00:00,2026-09-18T10:30:00+00:00
165,135,Agree the smallest useful version,"Reports are observations, not navigation guarantees.",2026-07-30,done,2026-07-26T03:30:00+00:00,2026-07-30T03:30:00+00:00
166,135,Test and hand over the prototype,Check the main use case: Record which walking routes stayed usable after heavy rain.,2026-10-06,planned,2026-07-26T03:30:00+00:00,2026-07-26T03:30:00+00:00
167,136,Agree the smallest useful version,Coordinators confirm sessions; users cannot approve their own hours.,2026-08-13,done,2026-08-09T07:30:00+00:00,2026-08-13T07:30:00+00:00
168,136,Test and hand over the prototype,Check the main use case: Keep volunteer hours for a student-run tutoring group.,2026-08-28,done,2026-08-09T07:30:00+00:00,2026-08-28T07:30:00+00:00
169,137,Agree the smallest useful version,"Preserve units, source dates and missing values in the final chart.",2026-09-29,planned,2026-07-29T20:30:00+00:00,2026-07-29T20:30:00+00:00
